name,first_name,family_name,father name, mother name, alive, death_cause, occ, height, strength, speed, stamina, weight, charisma, willpower, intel, melanin, parental, compassion, dexterity, weapon_prof, wealth, academic, farmer, fighter, hunter, merchant, gatherer, ruler, years_service
85,85,0,,,0,lack of mass,academic,66.8381,53.1158,83.0971,79.3312,68.4758,74.0914,77.8212,76.1448,73.5319,64.9882,74.1187,73.4066,0,0,1150.55,1113.82,912.801,1115.06,1088.84,975,1111.35,0,
58,58,0,,,0,lack of mass,academic,65.9461,39.3718,73.2695,87.4979,68.4526,73.2643,74.6132,77.6948,78.6199,77.5655,75.216,75.789,0,0,1150.01,1068.25,860.291,1087.91,1085.5,975,1072.37,0,
82,82,0,,,0,lack of mass,academic,63.8126,39.1046,72.5069,81.5112,39.5691,76.3932,75.2666,77.0891,75.995,80.2443,74.8249,74.7261,0,0,1147.22,1053.14,846.927,1065.67,1106.37,975,1063.93,0,
55,55,0,,,0,lack of mass,academic,68.6545,46.7332,64.2624,77.392,79.9922,73.332,77.1428,76.0354,76.0182,76.236,74.0065,77.5146,0,0,1146.07,1084.31,861.691,1074.15,1083.42,975,1063.77,0,
97,97,0,,,0,lack of mass,academic,67.3851,41.8009,66.3927,79.5114,75.3832,78.1044,77.2044,75.7814,70.4485,78.5708,77.7769,70.672,0,0,1143.84,1075.73,832.391,1037.69,1108.52,975,1061.5,0,
65 112,112,0,65,68,0,lack of mass,academic,68.6588,47.7031,84.0655,76.5028,72.5362,75.6671,77.7907,75.4852,80.28,59.5866,74.7093,72.5252,0,0,1143.81,1053.78,843.235,1036.38,1096.71,975,1056.85,0,
63,63,0,,,0,lack of mass,fighter,68.5902,53.7484,81.0362,77.4167,65.5651,73.4977,79.9898,74.3443,74.1079,63.4045,78.4592,76.2157,0,0,1143.39,1129.24,918.403,1123.43,1070.6,975,1116.55,0,
86,86,0,,,0,lack of mass,academic,69.3885,42.8608,68.4587,74.3304,77.1565,74.9173,75.5614,76.4778,74.2518,73.603,73.9898,71.4893,0,0,1142.59,1049.08,835.593,1035.15,1095.87,975,1046.9,0,
79,79,0,,,0,disease,fighter,66.6259,66.1265,79.6558,82.3209,146.14,82.0797,72.1066,77.9624,74.9456,69.5738,72.6583,74.7562,0,177.273,1140.16,1094.3,925.861,1128.68,1153.13,975,1134.9,0,
78,78,0,,,0,disease,academic,65.2667,44.7084,63.1904,76.7041,81.8452,79.1794,73.3785,77.281,75.2174,80.0148,79.8712,73.1176,0,0,1139.7,1024.64,815.719,1024.3,1116.36,975,1038.38,0,
20,20,0,,,0,lack of mass,academic,65.9189,42.653,64.2292,86.8954,72.2978,69.9646,73.3741,77.2485,75.8633,74.5999,79.1833,74.6138,0,0,1139.36,1065.65,843.118,1065.07,1053.13,975,1044,0,
52,52,0,,,0,lack of mass,academic,70.8626,54.5773,71.9946,75.0524,62.9215,75.532,77.3184,75.2186,73.83,62.3065,74.7885,74.4328,0,58.6119,1138.78,1096.82,884.835,1084.07,1096.2,975,1090.65,0,
71,71,0,,,0,disease,fighter,67.0059,64.6307,78.6527,85.7688,156.288,79.2532,75.2088,76.2226,79.5385,66.9109,72.6626,75.5869,0,1253.41,1138.27,1128.08,929.086,1139,1128.11,975,1139.67,1,
6,6,0,,,0,disease,academic,70.1406,65.9556,71.5405,69.126,158.21,70.5337,72.6094,77.4919,73.4845,67.504,73.5644,78.8276,0,660.926,1137.97,1058.73,906.525,1101.12,1069.08,975,1070.47,0,
89,89,0,,,0,lack of mass,academic,67.6181,55.1614,77.6905,73.5071,66.275,73.3004,76.794,75.3949,80.7497,64.4342,74.5542,75.4898,0,47.2762,1137.92,1088.04,899.074,1098.35,1081.58,975,1089.98,0,
40,40,0,,,0,lack of mass,academic,65.3599,43.124,62.465,71.0133,42.8001,75.6828,74.7097,76.418,75.4596,74.7131,80.5549,76.7481,0,0,1137.73,1029.31,830.626,1037.1,1087.92,975,1033.07,0,
88,88,0,,,0,lack of mass,academic,68.2142,45.4309,65.9281,79.5473,78.027,79.6807,72.2353,77.644,80.5834,78.2154,76.5897,72.9248,0,0,1137.62,1042.66,842.07,1049.13,1127.52,975,1063.57,0,
14,14,0,,,0,lack of mass,academic,67.1231,43.0768,62.7656,82.693,75.6466,78.3323,75.7093,75.8699,73.4123,78.4964,78.0902,73.6673,0,0,1137.25,1075.73,837.413,1051.74,1109.76,975,1065.16,0,
0,0,0,,,0,lack of mass,academic,66.9934,42.5423,66.2521,76.3851,42.3161,73.36,74.592,76.3727,78.3603,78.3337,83.0067,77.092,0,0,1136.69,1042.79,843.685,1057.97,1066.62,975,1045.35,0,
28,28,0,,,0,lack of mass,academic,64.7868,54.9353,76.7409,79.7529,46.7446,73.7164,77.2505,74.8488,77.0501,63.1235,74.5255,70.0542,0,0,1134.74,1111.78,887.921,1083.56,1081.51,975,1089.11,0,
44,44,0,,,0,lack of mass,academic,65.7678,36.7009,66.9596,81.4399,40.1884,75.4093,74.0416,76.388,78.5828,76.9184,75.6832,72.7837,0,0,1134.09,1035.07,818.375,1034.87,1095.66,975,1039.59,0,
72 125,125,0,72,65 117,0,lack of mass,academic,61.4388,49.5494,67.3781,81.3473,59.1362,69.4274,74.0323,76.337,72.6177,61.3941,75.3434,78.5174,0,0,1133.53,1066.88,868.52,1088.33,1054.32,975,1050.85,0,
39,39,0,,,0,lack of mass,academic,68.7709,38.4856,73.7654,85.4565,70.5356,76.1634,73.3194,76.6464,71.3528,78.0354,78.2398,73.3183,0,0,1133.06,1048.45,846.025,1066.68,1096.6,975,1070.65,0,
92,92,0,,,0,lack of mass,academic,64.8099,37.5712,68.3784,81.5672,41.3735,69.2616,75.3283,75.6373,74.8302,76.0203,80.8174,80.03,0,0,1133.01,1049.61,847.658,1078.14,1040.11,975,1043.33,0,
60,60,0,,,0,disease,academic,68.8116,44.2443,61.3383,77.6996,119.81,69.6911,73.8345,76.3038,81.1451,78.2475,79.7574,76.2032,0,0,1132.21,1030.34,820.102,1036.45,1047.23,975,1018.36,0,
62 101,101,0,62,70,0,lack of mass,academic,66.0234,35.5822,62.6793,73.8956,68.0369,78.7565,70.5366,77.7304,74.2796,76.6539,77.949,76.1672,0,0,1131.76,978.802,801.41,1017.57,1119.99,975,1021.49,0,
3,3,0,,,0,lack of mass,academic,65.0441,41.2871,64.6022,75.9249,43.7165,77.3323,71.6044,77.1059,75.1137,71.9344,81.3297,73.7244,0,0,1129.08,1010.82,820.638,1028.6,1099.98,975,1032.98,0,
10,10,0,,,0,lack of mass,fighter,67.8146,56.5548,76.5961,80.0323,73.4158,72.9099,77.3059,74.1386,74.2152,62.788,75.2086,76.9942,0,0,1127.92,1119.35,914.158,1122.46,1072.37,975,1108.19,0,
2 108,108,0,2,69,0,lack of mass,academic,68.1935,59.1045,67.4557,65.7381,73.39,75.827,75.5595,74.9585,68.6698,71.0214,76.9678,67.0428,0,0,1127.38,1063.01,849.24,1019.21,1091.73,975,1046.82,0,
1,1,0,,,0,lack of mass,fighter,68.075,55.7434,74.8338,80.3039,76.7398,78.6681,74.0734,75.6649,71.3292,63.0239,68.4953,79.5902,0,0,1127.02,1088.38,911.001,1125.58,1130.68,975,1116.5,0,
46,46,0,,,0,lack of mass,academic,64.503,40.9725,67.0062,77.756,44.1485,72.2418,75.3595,74.9658,72.6678,78.9971,75.7019,79.2718,0,0,1126.46,1048.98,848.235,1069.79,1069.19,975,1047.19,0,
24,24,0,,,0,lack of mass,academic,60.6679,43.7336,61.3869,76.5254,47.1363,78.1077,72.6653,76.1749,79.627,76.7087,79.8038,71.7716,0,0,1125.08,1029.35,816.272,1019.26,1105.67,975,1029.73,0,
35,35,0,,,0,lack of mass,academic,69.5165,56.0081,77.6498,77.0664,72.8425,77.3917,74.3992,75.2879,70.6999,64.4789,73.8186,68.9478,0,0,1124.87,1082.44,883.202,1072.22,1109.97,975,1093.52,0,
4,4,0,,,0,lack of mass,academic,67.16,53.9105,73.8031,78.0826,54.477,75.9201,72.9494,75.9907,73.3835,66.2984,73.9332,76.5893,0,39.7,1124.65,1063.5,887.544,1095.76,1102.95,975,1087.03,0,
81,81,0,,,0,lack of mass,academic,67.7706,55.2686,74.1002,75.5986,70.9229,75.2296,72.3753,76.2304,71.0539,60.2793,81.0117,73.8157,0,0,1124.18,1058.6,884.299,1081.92,1084.67,975,1079.09,0,
54,54,0,,,0,lack of mass,academic,67.6104,42.8526,72.7578,84.4856,71.8306,69.0633,73.8149,75.4883,71.456,77.3627,75.5106,74.4145,0,0,1123.96,1063.1,858.726,1077.07,1048.89,975,1056.64,0,
57,57,0,,,0,lack of mass,academic,64.8631,51.9269,75.1016,76.7028,44.3152,72.2527,78.0032,73.3494,77.9647,62.1952,72.7356,75.1261,0,0,1123.51,1101.28,887.952,1092.3,1071.75,975,1083.35,0,
64,64,0,,,0,lack of mass,academic,69.8548,49.4009,84.2062,85.9982,61.854,74.2484,72.4399,75.9995,71.3524,64.3159,71.2022,75.5632,0,0,1122.19,1074.11,906.219,1124.07,1095.33,975,1111.16,0,
53,53,0,,,0,lack of mass,academic,65.1954,39.748,66.249,81.1012,42.001,73.7964,75.0794,74.5952,75.227,78.486,70.6034,79.6805,0,0,1121.35,1052.66,846.227,1073.76,1089.15,975,1055.14,0,
80,80,0,,,0,lack of mass,academic,68.5397,44.7801,64.6104,79.7141,74.9201,78.3422,74.8712,74.5789,72.8753,80.2584,78.3415,80.0815,0,0,1120.15,1064.48,859.775,1081.91,1105.45,975,1078.15,0,
99,99,0,,,0,lack of mass,fighter,70.9682,57.191,75.8667,82.0738,84.4248,71.0726,71.068,76.4152,70.8905,62.6727,78.2794,77.5186,0,0,1119.49,1070.92,908.083,1119.73,1060.19,975,1091.96,0,
4 104 121,121,0,4 104,70,0,lack of mass,academic,67.1535,45.7658,71.2756,79.9734,58.6934,75.8447,70.8722,76.3457,68.0332,70.2746,69.5845,77.4929,0,0,1117.82,1027.73,859.955,1077.7,1110.78,975,1065.01,0,
96,96,0,,,0,lack of mass,academic,68.8752,44.9767,62.4233,68.4343,80.752,71.3088,72.722,75.4159,77.3452,75.5445,81.1231,77.1688,0,0,1117.77,1012.66,832.968,1034.85,1053.16,975,1019.12,0,
42,42,0,,,0,lack of mass,academic,68.5218,46.8993,65.0652,75.0376,79.5871,77.3026,75.9297,73.6817,80.0444,80.085,83.1761,78.5682,0,0,1116.47,1066.81,859.429,1070.95,1085.81,975,1071.26,0,
33,33,0,,,0,lack of mass,academic,66.1862,54.2434,82.4704,82.5363,66.5683,75.1665,76.4368,73.3779,71.6151,67.4346,75.085,70.7332,0,0,1115.96,1114.14,903.515,1103.68,1086.13,975,1111.72,0,
43,43,0,,,0,lack of mass,academic,68.5301,45.5714,62.0963,77.0721,79.0805,73.2927,72.3072,75.3258,74.4134,74.7493,80.5013,72.9247,0,0,1114.79,1036.45,828.78,1032.6,1068.02,975,1032.69,0,
36,36,0,,,0,lack of mass,academic,70.6507,51.164,79.1168,77.3847,63.9829,73.9702,74.5993,74.1451,78.5343,68.3434,78.6279,73.3135,0,0,1114.45,1073.2,886.897,1088.04,1072.97,975,1089.29,0,
41,41,0,,,0,lack of mass,academic,64.5732,44.8526,67.6679,73.5233,46.2635,74.9544,71.6971,75.5137,72.4865,81.0911,76.2502,75.9655,0,0,1113.62,1015.42,841.04,1047.73,1088.72,975,1038.78,0,
18,18,0,,,0,lack of mass,academic,62.3704,40.1084,67.1808,76.9205,46.6255,78.1382,76.6959,72.9183,74.8687,77.596,77.3819,71.7027,0,0,1112.66,1055.89,822.587,1028.59,1100.96,975,1048.53,0,
8,8,0,,,0,lack of mass,fighter,70.6924,55.6759,82.4654,76.049,77.1317,73.208,74.2578,74.0695,71.9391,69.0217,77.7282,70.7446,0,69.5814,1111.98,1077.22,895.814,1087.74,1070.61,975,1093.33,0,
13 111,111,0,13,69,0,lack of mass,academic,68.4396,38.8069,70.1671,72.5138,68.4161,71.8302,72.185,74.8183,71.0567,68.1196,71.6822,69.8503,0,0,1110.92,995.271,803.46,1003.75,1075.3,975,1011.55,0,
47,47,0,,,0,lack of mass,fighter,69.7717,52.1809,89.5898,77.5768,63.9643,76.7016,72.1621,74.7253,71.373,66.8145,74.0293,73.5917,0,0,1108.06,1054.91,910.458,1111.68,1103.03,975,1113.32,0,
30,30,0,,,0,lack of mass,academic,65.3283,42.1198,63.6399,76.7356,43.4177,79.2944,73.9153,73.7408,73.9862,77.6698,79.3996,72.9881,0,0,1106.98,1036.45,819.883,1026.74,1107.48,975,1045.86,0,
2,2,0,,,0,lack of mass,academic,70.6074,61.9125,67.6566,68.8868,83.6625,72.2409,72.9137,74.0121,71.9096,65.8633,74.8152,71.5907,0,208.044,1106.52,1058.29,867.179,1049.51,1069.49,975,1053.15,0,
74 110,110,0,74,68,0,lack of mass,useless,68.2149,48.7562,89.234,85.5834,72.966,72.7207,78.212,71.5091,67.7991,68.3743,70.7102,72.6913,0,0,1106.15,1086.24,862.079,1065.53,1072.15,975,1078.04,0,
8 103,103,0,8,68,0,lack of mass,gatherer,64.1763,43.6511,74.1201,77.5816,49.0746,71.5075,83.5575,68.8298,67.977,82.6077,77.9211,74.9819,0,0,1106.09,1126.41,864.099,1075.66,1041.2,975,1077.2,0,
65 120,120,0,65,62 101,0,lack of mass,fighter,58.5787,47.6882,77.3019,86.7029,51.5497,74.6693,80.1253,70.5348,74.1787,64.1954,75.9255,82.0855,0,0,1105.97,1127.46,901.53,1137.63,1072.44,975,1112.72,0,
45,45,0,,,0,lack of mass,gatherer,66.5847,46.0856,80.2035,74.3803,65.0938,74.1848,75.0033,73.0631,72.2228,64.5836,76.5505,73.6845,0,0,1105.65,1052.19,871.287,1073.31,1075.38,975,1073.57,0,
87,87,0,,,0,lack of mass,gatherer,64.455,42.7007,67.0632,83.1226,41.6456,76.4763,71.7233,74.6641,75.1898,77.9167,79.8254,73.5588,0,0,1105.26,1037.41,833.979,1049.64,1089.68,975,1051.79,0,
94,94,0,,,0,lack of mass,gatherer,67.3593,43.4206,63.6177,79.13,75.2816,75.7473,77.5034,71.7538,74.9422,78.103,77.9184,75.4502,0,0,1105.05,1082.11,840.492,1053.66,1079.66,975,1061.75,0,
68,68,0,,,0,disease,retired,64.1366,48.6627,63.3605,72.5471,150.194,73.0472,75.9134,72.4517,72.8318,77.4521,77.2178,72.975,0,667.412,1104.08,1046.85,822.412,1022.55,1064.25,975,1026.11,1,
23 115,115,0,23,70,0,accident,useless,32.1514,27.408,30.5857,38.1071,86.4287,72.8721,75.826,72.407,71.951,40.6857,75.0946,38.5551,0,0,1103.2,878.979,546.975,651.163,1067.14,975,747.558,0,
65 117,117,0,65,70,0,disease,gatherer,57.3783,30.7433,52.1264,71.6725,63.6277,70.4953,73.1954,73.4779,72.9055,75.8426,76.0397,79.5688,0,0,1100.76,966.006,758.131,983.802,1051.82,975,956.672,0,
73 105,105,0,73,69,0,lack of mass,gatherer,71.008,49.9971,70.8378,78.3468,82.4511,66.9329,70.272,74.9229,75.3406,68.1499,70.6284,74.6069,0,0,1100.59,1021.72,849.997,1059.25,1043.44,975,1034.23,0,
27,27,0,,,0,lack of mass,gatherer,64.6917,40.3441,71.4903,81.2111,41.5278,74.7595,73.3647,73.3361,74.2871,78.7392,79.1888,70.5972,0,0,1100.19,1039.3,827.636,1036.74,1074.95,975,1046.13,0,
15,15,0,,,0,lack of mass,gatherer,65.34,38.3801,68.6317,81.9975,42.5363,76.6396,75.078,72.4388,75.1587,80.3604,81.7999,72.1091,0,0,1099.78,1051.32,823.06,1037.57,1080.19,975,1052.55,0,
73 113,113,0,73,70,0,disease,gatherer,63.5083,51.4558,72.736,78.5282,85.289,68.5136,70.4272,74.6943,75.6673,67.6884,72.2274,79.4082,0,0,1099.08,1023.8,868.999,1087.38,1049.22,975,1044.59,0,
7 119,119,0,7,69,0,lack of mass,gatherer,64.7772,40.1455,71.4728,89.6853,56.4058,81.0473,78.6539,70.5033,73.4066,69.2142,76.5748,72.5138,0,0,1098.3,1104.38,840.897,1066.32,1115.69,975,1096.29,0,
61,61,0,,,0,lack of mass,gatherer,60.8565,41.4527,64.1235,85.7465,42.0109,71.0874,73.1337,73.2595,72.8661,72.2006,79.948,75.156,0,0,1098.26,1053.75,831.603,1054.78,1047.49,975,1035.97,0,
91,91,0,,,0,lack of mass,fighter,71.8762,55.7805,75.9036,79.5391,61.4629,75.0322,77.7137,70.9544,73.7199,64.968,75.0687,78.4489,0,0,1098.11,1118.56,910.322,1121.66,1077.95,975,1118.38,0,
34,34,0,,,0,lack of mass,fighter,65.3247,46.9644,87.7353,88.3987,59.9731,77.7444,73.4454,73.0802,76.0379,60.5543,77.7456,77.9472,0,0,1098.03,1082.26,913.968,1141.6,1097.96,975,1131.35,0,
66,66,0,,,0,disease,retired,71.3559,66.4027,66.3359,61.9512,162.165,71.9368,69.503,75.0453,74.5056,64.3966,71.2169,77.8375,0,312.206,1097.97,1010.59,876.74,1060.05,1076.26,975,1040.73,3,
67,67,0,,,0,accident,retired,69.4671,57.5057,64.8331,63.0227,154.928,69.4437,68.8651,75.2885,74.588,69.607,73.4383,69.9751,0,1004.83,1097.21,981.371,823.181,998.78,1055.1,975,995.067,29,
66 100 123,123,0,66 100,70,1,alive,retired,68.3319,49.6089,75.5788,72.1005,151.835,69.0268,69.8663,74.339,74.8226,69.9929,69.3766,83.6054,0,1213.7,1094.48,1001.74,881.417,1103.18,1058.85,975,1054.48,34,
26,26,0,,,0,lack of mass,fighter,72.4023,50.236,88.9782,83.5618,59.008,76.0641,75.7397,71.6556,73.6423,65.8831,73.5558,69.5003,0,0,1095.25,1098.79,899.802,1101.84,1090.3,975,1123.07,0,
84,84,0,,,0,disease,gatherer,67.4743,50.0962,56.936,59.0689,116.614,70.6022,62.6565,78.1059,81.2621,70.461,74.1132,71.2197,0,185.123,1094.34,891.404,774.068,952.771,1070.31,975,941.892,0,
51,51,0,,,0,lack of mass,gatherer,67.3993,44.72,64.9177,80.9011,77.2007,74.7892,74.9839,71.7146,76.3182,76.175,76.9296,76.5791,0,0,1092.06,1069,847.74,1064.37,1074.81,975,1062.64,0,
49 122,122,0,49,69,0,lack of mass,gatherer,59.829,35.3658,65.9623,73.5806,54.6248,72.4149,76.7954,70.7934,78.0325,75.593,78.6996,74.465,0,0,1091.91,1021.25,796.822,1010.54,1051.89,975,1008.51,0,
50,50,0,,,0,lack of mass,gatherer,66.7372,41.8989,67.479,82.1915,41.6413,74.5591,78.7567,69.7084,77.2114,72.105,82.136,72.447,0,0,1090.87,1095.46,836.078,1048.82,1056.77,975,1064.41,0,
7,7,0,,,0,disease,retired,68.8587,54.517,67.7749,68.6756,156.152,68.2837,68.6679,74.7518,73.4203,66.6678,77.0475,73.4107,0,913.159,1090.86,987.589,835.728,1027.51,1038.15,975,1008.47,1,
76,76,0,,,0,lack of mass,fighter,72.2224,55.0655,81.7017,81.5229,61.9299,73.4485,75.9894,71.045,75.3414,66.8603,75.5246,73.325,0,0,1090.4,1109.73,907.391,1110.81,1066.23,975,1114.66,0,
95,95,0,,,0,lack of mass,fighter,74.0622,50.1714,85.3209,78.5316,64.0455,75.8356,72.892,72.5323,75.2285,63.6417,72.264,79.3495,0,0,1089.78,1058.78,912.217,1127.53,1093.92,975,1118.35,0,
56,56,0,,,0,lack of mass,gatherer,68.8448,54.3049,74.0394,74.566,73.9315,75.2117,73.0339,72.3908,70.4384,66.7014,73.3488,76.187,0,0,1089.08,1061.1,886.397,1087.18,1086.96,975,1083.45,0,
75 106,106,0,75,68,0,accident,useless,33.4444,35.6916,38.0133,35.4321,85.0415,80.7385,77.645,69.9482,66.504,32.0631,75.4663,34.9452,0,0,1087.71,912.177,575.598,663.009,1114.08,975,796.759,0,
77,77,0,,,0,lack of mass,gatherer,67.505,44.7604,67.1951,82.61,73.7213,77.8204,70.6654,73.4238,73.8676,79.1856,75.6488,75.9533,0,0,1087.57,1035.22,846.141,1063.76,1103.72,975,1065.65,0,
7 109,109,0,7,70,0,accident,useless,15.6466,13.9809,14.3492,17.6751,43.4493,78.1186,70.8361,73.3265,76.4565,16.8262,72.1995,17.4515,0,0,1087.45,732.493,377.588,424.1,1112.41,975,589.424,0,
13 111 124,124,0,13 111,69,0,lack of mass,useless,44.4558,34.6997,49.0999,50.0228,32.4463,73.9799,71.444,72.9805,70.2559,44.9812,70.2781,48.0025,0,0,1087.03,879.926,612.619,733.179,1086.24,975,813.075,0,
38,38,0,,,0,lack of mass,fighter,68.7296,55.311,75.6764,79.412,70.8385,76.3834,72.7984,72.249,79.2675,68.07,76.2097,72.775,0,0,1086.48,1076.2,886.717,1086.08,1089.01,975,1094.09,0,
25,25,0,,,0,lack of mass,gatherer,65.4329,37.6792,66.2289,75.954,43.3868,76.5597,73.3351,71.8473,70.4759,80.711,72.1587,74.4131,0,0,1085.15,1015.57,812.377,1024.44,1097.14,975,1033.63,0,
72 118,118,0,72,62 101,0,lack of mass,gatherer,60.0464,41.6026,52.4903,70.0034,61.3521,80.6886,67.5733,74.5429,80.9407,73.4293,85.5239,74.6504,0,0,1083.3,947.101,769.267,974.145,1107.4,975,985.304,0,
83,83,0,,,0,lack of mass,fighter,69.8878,55.4306,76.5644,80.5478,67.5292,75.2653,72.3013,72.0337,76.7011,64.7321,75.8397,77.0578,0,0,1081.84,1075.28,901.577,1110.9,1081.28,975,1103.12,0,
62,62,0,,,0,accident,retired,64.6526,52.5458,63.9266,59.6812,152.484,67.7966,65.4972,74.8649,74.448,65.3063,79.2311,72.025,0,1402.63,1076.13,926.155,801.804,981.046,1030.71,975,960.891,2,
16,16,0,,,0,lack of mass,gatherer,64.3363,38.8444,68.0966,78.9338,42.4397,75.5927,71.7101,71.3161,74.2808,77.1077,86.5267,74.925,0,0,1071.71,1013.21,820.5,1036.53,1060.04,975,1037.73,0,
52 102,102,0,52,69,0,disease,useless,46.2112,37.9904,42.2383,54.3224,90.9826,68.5068,67.1048,73.5914,78.4318,55.9442,80.8645,54.7753,0,0,1071.44,880.882,653.855,802.815,1028.59,975,831.699,0,
75 114,114,0,75,69,0,lack of mass,gatherer,64.4197,36.5743,82.9229,76.7291,49.3677,73.5886,76.0897,68.6922,77.3159,65.7634,74.8931,73.2715,0,0,1069.28,1041.82,845.538,1058.21,1062.81,975,1064.45,0,
66 100 116,116,0,66 100,69,0,disease,gatherer,70.7445,40.2376,69.678,66.0048,96.6011,73.3128,69.8462,71.913,74.1208,59.7682,70.7373,73.9358,0,0,1068.36,947.343,794.884,995.084,1077.45,975,999.934,0,
73,73,0,,,0,disease,retired,71.5523,53.5374,62.9274,69.5891,158.524,63.3543,66.8859,73.191,71.3326,68.5466,73.9127,75.7886,0,1532.96,1066.34,971.352,824.414,1022.82,1005.23,975,985.958,1,
65 107,107,0,65,70,0,accident,gatherer,61.8133,47.7704,73.6849,71.5265,146.45,73.8141,73.5745,68.2885,72.3113,68.4326,73.3445,72.5863,0,0,1050.76,1020.06,830.897,1029.65,1064.88,975,1035.12,0,
72 126,126,0,72,65 117,0,lack of mass,useless,51.3915,36.5029,52.7157,78.3193,31.4547,77.2526,70.0943,68.425,77.9132,72.3106,77.7198,72.281,0,0,1034.72,959.68,722.814,924.227,1080.6,975,945.011,0,
19,19,0,,,0,accident,retired,65.6117,48.6457,52.6105,55.4806,159.1,65.6352,64.5264,68.1338,72.919,72.9912,71.8444,71.8437,0,372.734,1003.97,893.117,749.542,926.096,1010.16,975,913.258,1,
75,75,0,,,0,accident,retired,68.6286,48.1434,54.3446,53.6904,152.181,70.474,64.7368,57.1263,70.9128,72.4905,73.1808,68.635,0,391.274,894.946,888.132,727.182,895.458,1008.33,975,923.888,20,
69,69,0,,,0,disease,retired,63.4982,-4.46449,37.0196,44.0633,171.658,62.9898,59.2856,51.1259,75.9911,87.7175,78.0975,62.3578,0,1908.17,807.687,652.367,483.516,666.659,928.111,975,708.277,1,
