name,age,birth year,first_name,family_name,father name,mother name,alive,death_cause,occ,height,strength,speed,stamina,weight,charisma,willpower,intel,melanin,parental,compassion,dexterity,weapon_prof,wealth,academic,farmer,fighter,hunter,merchant,gatherer,ruler,years_service
s_1 237 1277 3126 10126,5,116,10126,s_1,1 237 1277 3126,21 176 509 2278,1,alive,useless,20.8796,21.876,26.5864,26.8576,39.2907,72.6769,83.4789,89.4042,77.524,23.6234,79.5027,22.0877,0,0,1311.44,873.392,461.102,512.161,1107.95,975,648.383,0
s_69 181 997 2744,16,73,2744,s_69,69 181 997,22 182,0,lack of mass,useless,57.0025,42.7811,63.8859,72.3888,49.4535,81.4478,78.3713,91.8312,75.8539,64.3696,71.6348,77.7686,0,0,1310.17,1032.75,817.545,1018.4,1192.36,975,1018.07,0
s_35 143 638 2243 8927,10,110,8927,s_35,35 143 638 2243,44 183 632,0,lack of mass,useless,42.3063,22.4094,44.7486,55.7516,25.0221,85.1731,92.5422,84.6687,81.818,52.0967,77.2781,44.8323,0,0,1309.4,1047.47,617.95,747.133,1185.66,975,877.502,0
s_28 285 1081 3084 6395 10719,2,119,10719,s_28,28 285 1081 3084 6395,20 253 760 2778 6320,1,alive,useless,10.9527,11.5545,12.6395,15.0593,19.921,70.2879,95.2162,83.152,76.2792,12.7267,80.2028,12.9324,0,0,1307.6,911.166,373.338,397.088,1071.07,975,574.042,0
s_74 355 940 2620 8333,13,107,8333,s_74,74 355 940 2620,1 100 791 2397,0,lack of mass,useless,53.2862,40.2237,64.2686,62.228,46.1658,66.7148,72.9568,94.2219,67.0624,52.1991,79.9225,53.6416,0,0,1307,946.295,721.529,864.382,1079.82,975,880.684,0
s_1 416 1702 4269 8885,11,110,8885,s_1,1 416 1702 4269,28 158 1021 3616,1,alive,useless,45.0666,46.3507,50.0348,46.0614,70.2822,70.1539,68.2628,96.5116,84.2809,46.3613,85.0173,55.94,0,0,1306.43,869.598,685.003,808.287,1100.58,975,821.101,0
s_21 364 1023 3476 10205,4,117,10205,s_21,21 364 1023 3476,6 351 1516 5434,1,alive,useless,15.4033,15.9128,16.5885,25.2825,35.7389,77.8756,79.3559,90.9124,68.0244,23.1918,78.9471,21.61,0,0,1305.9,814.164,413.58,463.633,1149.97,975,611.785,0
s_35 143 511 1749 3824 10484,3,118,10484,s_35,35 143 511 1749 3824,20 222 587 1492 3962,1,alive,useless,12.527,8.66593,18.3178,19.7516,25.6976,80.6674,75.9175,92.5992,74.141,18.4751,73.5995,14.3825,0,0,1305.58,747.116,365.087,400.344,1185.27,975,570.791,0
s_44 153 576 2086 6269,14,97,6269,s_44,44 153 576 2086,27 342 1790,0,lack of mass,useless,47.4884,33.5643,47.497,52.6423,31.2469,84.0455,76.1663,92.4488,88.4249,67.9321,78.8122,58.885,0,0,1305.32,928.943,677.697,825.074,1198.04,975,885.885,0
s_35 143 1105 2899 7711,8,104,7711,s_35,35 143 1105 2899,11 121 593 3163,0,lack of mass,useless,32.8917,18.6289,30.1031,44.1722,15.5452,69.3359,71.6331,94.1893,72.2294,40.1119,86.637,38.167,0,0,1300.06,816.062,515.808,619.415,1084.65,975,687.802,0
s_11 184 1019 3536,12,80,3536,s_11,11 184 1019,44 319 1330,0,lack of mass,useless,57.7924,24.3466,36.2018,53.1343,52.8978,64.6976,78.1045,90.9275,77.0505,58.8394,78.8165,55.1336,0,0,1299.8,920.254,616.943,762.537,1058.03,975,795.277,0
s_61 179 516 6339,15,97,6339,s_61,61 179 516,40 303 1318,0,lack of mass,useless,68.2002,50.3816,65.4912,80.8154,76.2358,77.9591,93.463,83.0969,74.8155,55.5368,70.3576,62.2158,0,0,1298.28,1211.22,822.453,998.043,1144.29,975,1064.29,0
s_20 222 675 2270 7534,18,103,7534,s_20,20 222 675 2270,9 379 1037,1,alive,fighter,61.1652,50.5148,67.5434,99.0152,162.545,77.7098,93.9302,82.8631,74.9107,74.4684,81.1054,78.3575,0,1000,1298.28,1293.46,928.595,1171.1,1120.35,975,1166.46,1
s_74 355 1557 4258,17,85,4258,s_74,74 355 1557,64 324 1327,0,lack of mass,useless,70.2343,50.6971,81.5693,74.2586,80.0873,77.3101,76.0352,91.6874,70.8101,61.8303,76.972,69.1749,0,0,1297.05,1040.03,851.478,1033.56,1152.29,975,1048.34,0
s_56 132 642 2245 6221,21,97,6221,s_56,56 132 642 2245,17 417 1125 3030,0,lack of mass,gatherer,62.7585,36.1634,63.1799,86.6752,50.6869,82.4569,77.2817,91.0349,71.6523,86.6374,81.108,75.7244,0,0,1296.76,1071.44,840.207,1071.2,1178.09,975,1070.51,0
s_1 100 443 1881 4608 10584,2,119,10584,s_1,1 100 443 1881 4608,35 202 832 1844 5984,1,alive,useless,10.9546,9.35459,9.97804,11.8362,23.2135,87.4503,75.566,91.8791,89.1752,13.417,85.8654,13.3358,0,0,1296.62,723.659,335.403,358.086,1206.06,975,556.491,0
s_74 355 873 4047 8361,13,108,8361,s_74,74 355 873 4047,53 150 455 1170 4039,0,lack of mass,useless,59.1638,41.3352,72.2015,70.9773,57.6364,69.7719,70.3405,94.4863,74.5375,46.101,71.6378,62.0023,0,0,1296.57,947.28,764.778,933.308,1118.59,975,934.112,0
s_64 119 1202 5249,15,91,5249,s_64,64 119 1202,68 131 1184,0,lack of mass,useless,58.2923,46.6744,68.1218,73.187,52.8884,69.9742,76.9834,91.1432,76.3713,54.6281,69.4848,60.2918,0,0,1296.35,1034,785.087,950.142,1114.28,975,963.794,0
s_44 153 576 2086 7818,12,105,7818,s_44,44 153 576 2086,39 189 948 2994,0,disease,useless,44.0778,34.3436,49.5648,55.7593,78.0899,80.5308,77.3825,90.8688,78.4922,53.9192,76.283,49.6011,0,0,1295.6,966.751,687.465,830.609,1173.76,975,896.355,0
s_64 427 4336 9143,10,111,9143,s_64,64 427 4336,21 137 435 1732,1,alive,useless,42.5882,33.8198,33.9006,41.2142,45.5154,77.7024,84.2971,87.4074,80.3354,52.1724,75.5714,46.9985,0,0,1295.56,964.874,606.638,715.478,1145,975,809.274,0
s_9 257 624 1500 3825 7449,18,103,7449,s_9,9 257 624 1500 3825,28 158 2175,1,alive,fighter,55.3563,54.5194,67.6967,66.8328,165.107,77.9144,89.7818,84.6493,79.2438,72.859,70.8484,83.5048,0,1000,1295.4,1171.88,918.37,1128.01,1147.65,975,1103.33,1
s_21 176 509 1316 5193,10,91,5193,s_21,21 176 509 1316,56 227 1989,0,lack of mass,useless,43.8952,27.6428,36.0186,41.8686,31.5309,87.2181,93.3179,82.8667,88.2273,51.494,71.2918,41.0535,0,0,1295.26,1035.34,595.217,697.073,1206.54,975,851.931,0
s_61 179 656 1624 4276 9166,10,111,9166,s_61,61 179 656 1624 4276,17 385 994 4494,1,alive,useless,43.3665,29.1296,36.2182,42.2807,74.6736,70.6938,82.7526,87.9911,74.0947,54.7809,72.26,48.4263,0,0,1293.67,940.491,600.492,716.496,1104.31,975,784.151,0
s_1 237 1227 3845,39,82,3845,s_1,1 237 1227,1 371 1352,1,alive,gatherer,62.3959,30.2532,75.0035,72.9881,74.7779,80.4247,85.3829,86.6353,76.7508,70.5768,82.2055,76.157,0,154.166,1293.27,1088.18,850.095,1068.79,1149.87,975,1076.24,0
s_56 315 1235 3118,45,76,3118,s_56,56 315 1235,64 324 1327,1,alive,gatherer,63.3327,48.9087,58.7866,67.9645,175.468,74.7878,75.8643,90.9927,82.3022,75.943,78.5629,69.6434,0,53053.5,1291.15,1038.98,824.246,1012.22,1130.77,975,1009.89,0
s_48 116 571 1546 4002 7949,10,105,7949,s_48,48 116 571 1546 4002,64 398 1560 3929,0,lack of mass,useless,43.1637,33.6349,48.3028,44.0903,31.1129,70.6316,81.6825,88.4153,73.3584,37.4013,70.5563,44.1843,0,0,1292.57,948.884,626.769,733.85,1108.55,975,806.853,0
s_11 121 593 3163,32,76,3163,s_11,11 121 593,28 130 1104,0,disease,gatherer,62.4158,42.6476,60.2219,91.3328,161.246,72.9808,76.5718,90.965,71.7037,80.1459,81.6047,82.1253,0,52.3573,1292.51,1091.09,868.001,1114.43,1110.55,975,1063.73,0
s_71 273 1363 3110 10381,4,117,10381,s_71,71 273 1363 3110,40 160 881 1923,1,alive,useless,16.3428,13.3147,19.4128,24.3652,33.4577,67.2637,73.904,92.2105,76.2715,21.0857,70.9244,19.3187,0,0,1291.63,755.856,396.111,443.355,1095.63,975,559.051,0
s_44 153 1107 3299,43,78,3299,s_44,44 153 1107,96 560,1,alive,fighter,63.6999,51.9033,86.6854,84.0562,141.134,69.3242,73.959,91.7566,78.5726,68.3204,70.3188,73.7544,0,318.914,1289.22,1078.38,921.107,1135.23,1111.3,975,1089.97,25
s_64 324 1111 9547,8,113,9547,s_64,64 324 1111,43 787 3022,1,alive,useless,34.05,29.287,34.7159,37.1578,61.1267,86.3161,84.5431,86.832,74.8378,35.2691,76.9659,37.2009,0,0,1291.04,938.682,557.997,645.743,1200.78,975,789.228,0
s_96 551 2129 8348,14,107,8348,s_96,96 551 2129,27 177 857 2684,1,alive,useless,53.1173,44.0029,55.6689,66.7207,77.4646,78.6481,88.0477,85.0117,75.6695,62.865,67.7604,61.1563,0,0,1290.36,1103.41,756.934,917.87,1160.05,975,975.035,0
s_17 417 1125 3030,46,75,3030,s_17,17 417 1125,20 214 1183,1,alive,fighter,63.0898,48.744,67.2224,81.253,164.171,75.2473,77.436,89.9201,75.0209,84.2343,75.7916,83.5422,0,1191.25,1288.33,1091.49,898.358,1130.85,1136.31,975,1085.63,23
s_64 119 646 3715,18,81,3715,s_64,64 119 646,21 176 635,0,disease,gatherer,59.5311,49.4428,61.413,66.6895,91.7258,68.76,76.7724,90.6152,73.2983,73.0646,83.3837,73.694,0,0,1290.01,1039.35,841.093,1034.76,1076.4,975,998.607,0
s_56 227 688 1722,43,61,1722,s_56,56 227 688,17 144 518,0,lack of mass,gatherer,70.3431,42.9533,41.5215,44.116,76.9795,74.4988,73.4262,92.0338,85.4159,79.9447,80.6556,81.3019,0,519.387,1289.31,933.787,781.4,965.498,1127.68,975,941.856,0
s_64 119 1202 3628 9231,9,112,9231,s_64,64 119 1202 3628,35 202 1721 4355,1,alive,useless,36.0092,26.8765,30.7805,41.8476,67.6699,73.8863,77.9867,89.9282,71.6188,42.7622,77.0175,37.8274,0,0,1289.22,888.412,544.049,640.864,1122.95,975,735.901,0
s_74 272 1165 3666,13,80,3666,s_74,74 272 1165,20 253 1199,0,lack of mass,useless,48.4486,32.3094,53.7747,63.4061,34.733,80.3708,74.0271,91.8658,73.4389,58.4566,72.9456,55.5395,0,0,1288.79,934.879,680.831,834.653,1182.3,975,890.353,0
s_21 176 1065 10546,3,118,10546,s_21,21 176 1065,21 364 1997 6013,1,alive,useless,13.9579,14.7448,19.329,19.4139,26.0439,76.6768,84.2924,86.5727,72.0748,15.1285,78.0034,14.5165,0,0,1287.19,835.371,389.7,421.412,1130.45,975,595.306,0
s_1 100 506 1266 8223,14,107,8223,s_1,1 100 506 1266,43 329 1309 3558,1,alive,useless,47.871,33.5158,52.5902,56.8951,72.7817,74.6374,79.9109,88.7522,73.9395,55.0164,83.9348,63.4726,0,0,1287.08,973.591,707.115,868.237,1110.85,975,894.602,0
s_5 367 1643 10518,3,118,10518,s_5,5 367 1643,61 195 983 2837,1,alive,useless,16.4425,14.3742,16.9048,17.8529,28.086,67.366,76.8908,90.2086,76.0488,16.3791,80.2873,16.6827,0,0,1286.54,764.423,378.232,411.95,1071.61,975,543.769,0
s_5 336 1651 3882 7983,15,106,7983,s_5,5 336 1651 3882,98 337 1213 4185,0,lack of mass,useless,60.5275,43.6281,54.9425,57.4361,51.0584,72.9155,80.1886,88.5281,78.7058,81.2484,78.872,54.4431,0,0,1286.22,1009.62,720.29,858.114,1108.25,975,913.137,0
s_21 364 1023 2672 6055,11,96,6055,s_21,21 364 1023 2672,54 543 1519,0,lack of mass,useless,49.1569,34.7815,52.712,51.6584,35.6133,71.2999,84.6909,86.2009,70.221,43.9065,81.9184,50.4345,0,0,1285.46,1002.69,670.314,797.367,1083.87,975,862.453,0
s_17 385 1175 2960,16,75,2960,s_17,17 385 1175,54 167 755,0,lack of mass,useless,62.0257,40.7061,77.6985,73.08,63.4222,75.124,83.1746,86.9565,73.1899,74.2119,79.8368,75.8119,0,0,1285.44,1074.75,842.262,1041,1117.06,975,1039.7,0
s_28 295 708 2277 5956,13,95,5956,s_28,28 295 708 2277,1 371 866,0,lack of mass,useless,52.4777,39.626,39.361,46.8477,30.6056,69.56,75.126,90.9152,80.2848,59.4867,83.3789,70.4444,0,0,1284.78,924.675,703.906,859.653,1082.91,975,852.451,0
s_21 137 928 3224 7573,13,104,7573,s_21,21 137 928 3224,28 158 817 2593,0,lack of mass,useless,44.6708,28.3143,56.5754,68.1121,31.5894,76.1572,73.7192,91.6013,84.1663,58.6313,85.9008,55.1038,0,0,1284.61,933.796,677.469,838.808,1126.1,975,878.804,0
s_44 153 1585 7572,11,104,7572,s_44,44 153 1585,21 137 514,0,lack of mass,useless,44.2378,28.5363,46.7388,55.6342,31.9767,71.5262,71.5308,92.6937,71.8959,51.128,83.4602,56.0894,0,0,1284.59,877.652,641.448,787.893,1101.84,975,814.231,0
s_74 272 1087 10152,5,116,10152,s_74,74 272 1087,64 324 1111 4217,1,alive,useless,23.066,19.284,28.7945,25.4318,38.1578,70.6394,86.7933,85.0162,64.0543,22.7305,84.8385,24.7534,0,0,1284.13,893.234,465.436,521.05,1069.85,975,655.49,0
s_5 336 1651 3882 9769,7,114,9769,s_5,5 336 1651 3882,98 337 1347 3410,1,alive,useless,31.4411,28.755,33.7288,33.3322,34.1728,74.1813,78.1713,89.3099,68.8671,29.8333,71.7424,36.1775,0,0,1283.96,868.043,535.523,616.065,1133.71,975,716.598,0
s_15 400 1366 4887,32,89,4887,s_15,15 400 1366,68 131 535 1638,1,alive,fighter,60.6305,64.4744,68.2111,84.5861,163.276,67.277,75.7477,90.4064,64.9875,66.0675,83.5306,74.0244,0,1029.86,1282.8,1129.1,918.146,1123.72,1066.5,975,1073.11,14
s_53 610 2003 5302,29,92,5302,s_53,53 610 2003,15 219 802 1795,1,alive,retired,67.2424,51.7091,63.3717,75.6005,166.262,76.2772,68.0675,94.1964,71.2262,91.2309,72.4788,83.4919,0,537.154,1282.3,996.103,879.198,1102.19,1162.97,975,1050.84,1
s_11 121 593 1739 7801,15,105,7801,s_11,11 121 593 1739,48 116 972 2159,0,lack of mass,useless,52.0834,35.6192,56.5776,57.045,45.9826,66.4083,77.0616,89.6765,72.6772,65.3833,78.6303,67.8928,0,0,1282.07,956.285,732.289,900.918,1066.63,975,887.827,0
s_44 153 576 2086 5003,13,90,5003,s_44,44 153 576 2086,74 272 827 2031,0,lack of mass,useless,53.2126,43.5818,59.224,54.328,42.8313,67.202,82.0176,87.1312,81.4901,44.6513,86.6408,51.375,0,0,1281.4,1014.65,715.404,842.605,1048.53,975,886.818,0
s_54 597 1523 4091 10112,5,116,10112,s_54,54 597 1523 4091,11 184 781 5467,1,alive,useless,22.4519,20.035,24.3529,27.0322,40.8881,74.8822,67.4977,94.3856,70.6333,26.9285,74.3518,24.9802,0,0,1281.34,725.503,434.06,491.294,1148.63,975,606.801,0
s_17 385 1126 4685,15,88,4685,s_17,17 385 1126,33 327 1102,0,lack of mass,useless,61.9535,49.2656,73.1826,74.8607,53.5858,67.7264,86.0157,85.1154,73.6868,55.9051,77.4199,63.8857,0,0,1281.23,1127.19,825.156,997.034,1064.59,975,1011.67,0
s_74 272 1165 3898,16,82,3898,s_74,74 272 1165,51 331 840,0,lack of mass,useless,71.9715,51.274,72.8795,81.072,81.4281,77.0215,83.4208,86.4005,78.6892,58.1026,81.5509,74.3908,0,0,1281.11,1125.82,861.646,1060.54,1125.25,975,1076.31,0
s_44 153 576 1933 5214,30,91,5214,s_44,44 153 576 1933,54 186 501 1980,1,alive,gatherer,57.2102,44.6122,67.7191,65.5036,165.526,79.6162,81.9905,87.1004,75.2678,70.169,80.8679,72.3481,0,134.33,1280.96,1069.04,842.445,1035.73,1148.28,975,1043.89,0
s_56 260,48,12,260,s_56,56,59,0,disease,academic,60.6234,56.7266,53.3528,67.5281,180.106,80.1935,76.0987,90.1268,78.5407,79.217,83.5371,69.8502,0,2443.97,1280.76,1057.65,832.033,1013.6,1154.36,975,1024.42,0
s_15 155 687 1886 5462,20,93,5462,s_15,15 155 687 1886,40 160 617 1889,0,lack of mass,gatherer,63.6427,34.0535,70.6689,95.7248,64.0073,72.5726,78.1502,88.9362,73.7362,79.4091,73.1251,80.4691,0,0,1280.11,1095.55,868.6,1123.1,1118.57,975,1079.67,0
s_85 197 524 4010,15,83,4010,s_85,85 197 524,99 323 1421,0,lack of mass,useless,58.52,55.582,58.614,59.1559,54.0306,81.5257,77.241,89.3485,72.8621,53.8836,83.6647,63.6399,0,0,1279.69,1021.36,784.071,932.82,1161.4,975,977.901,0
s_1 275 1435 3340,13,78,3340,s_1,1 275 1435,24 221 837,0,lack of mass,useless,55.1069,31.2005,49.2624,63.101,49.6959,61.8688,83.3106,86.2689,76.241,59.8786,83.0749,52.9356,0,0,1279.24,1016.3,674.163,823.045,1015.74,975,854.187,0
s_15 219 802 2355 7788,14,105,7788,s_15,15 219 802 2355,21 176 769,0,lack of mass,useless,63.6951,53.7402,67.1125,72.6142,65.8649,73.81,82.408,86.7179,86.6186,56.0488,75.516,60.3575,0,0,1279.22,1096.44,802.372,961.917,1115.79,975,1002.58,0
s_48 116 571 1546 8079,11,106,8079,s_48,48 116 571 1546,70 1156 4074,0,disease,useless,42.714,29.6043,36.9882,56.7257,45.9979,86.2581,80.6223,87.6056,77.9629,46.4137,70.1606,49.1059,0,0,1279.17,984.59,646.831,793.747,1216.3,975,888.203,0
s_74 355 873 4047 10427,3,118,10427,s_74,74 355 873 4047,6 467 2362 5554,1,alive,useless,14.801,14.582,13.5187,16.2736,34.4107,72.7618,77.5735,89.0982,76.7213,17.8556,83.6901,16.9553,0,0,1278.85,767.733,372.642,405.106,1099.25,975,554.209,0
